model,window,segment,bank_id,forecast_origin,target_period,nco_rate,prediction,error,absolute_error,squared_error,squared_error_share,data_audit_status,data_audit_reason,mapping_id
ar,4,CRE,501105,2023-05-15,2023-06-30,0.009035036779159962,0.001010134423579279,0.008024902355580683,0.008024902355580683,6.43990578166044e-05,0.00874921779524106,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,694904,2025-05-15,2025-06-30,0.009945926886271137,0.0023227627415152935,0.007623164144755844,0.007623164144755844,5.811263157789109e-05,0.00789514765538197,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,3303298,2023-05-15,2023-06-30,0.008046653273868496,0.0006707027358537235,0.0073759505380147725,0.0073759505380147725,5.440464633924041e-05,0.007391382980332192,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,3303298,2024-05-15,2024-06-30,0.0108482704750893,0.0035070953919338023,0.007341175083155497,0.007341175083155497,5.389285160154312e-05,0.0073218508508509856,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,413208,2025-08-14,2025-09-30,0.0014167439873963136,0.008524714091594944,-0.0071079701041986305,0.0071079701041986305,5.0523239002181494e-05,0.006864057281861815,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,229801,2024-11-14,2024-12-31,0.008684663632170981,0.0017558012204591234,0.006928862411711857,0.006928862411711857,4.800913432043346e-05,0.00652249251109622,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,280110,2025-02-14,2025-03-31,0.008338677004514183,0.0014823450719674072,0.006856331932546776,0.006856331932546776,4.700928756926061e-05,0.00638665392456305,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,940311,2024-05-15,2024-06-30,-0.0008191685439279131,0.0057431476606732545,-0.006562316204601168,0.006562316204601168,4.306399396917108e-05,0.005850648676292882,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
dynamic_fe,1,CI,940311,2015-08-14,2015-09-30,-0.05894020969113063,0.02343944467211681,-0.08237965436324744,0.08237965436324744,0.006786407453008113,0.13861388620426535,PRESENT,complete_required_component_set,CI_31_consolidated_bank
dynamic_fe,1,CI,694904,2013-08-14,2013-09-30,-0.014677738463833068,0.029247753418037148,-0.04392549188187021,0.04392549188187021,0.0019294488370642459,0.03940942293690714,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,694904,2012-05-15,2012-06-30,-0.005357549456878424,0.03529860785603213,-0.04065615731291056,0.04065615731291056,0.0016529231274521306,0.033761323628083977,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,694904,2012-02-14,2012-03-31,0.0029663093741342937,0.03678924763767835,-0.03382293826354406,0.03382293826354406,0.0011439911527795128,0.02336627450799131,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,694904,2012-08-14,2012-09-30,0.0010839567273064389,0.033955083549293094,-0.03287112682198665,0.03287112682198665,0.0010805109785471303,0.02206967778753149,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,694904,2013-11-14,2013-12-31,-0.004465072984672219,0.027291947326557413,-0.031757020311229636,0.031757020311229636,0.0010085083390478516,0.02059900781272239,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,694904,2013-02-14,2013-03-31,-0.00036590292900212683,0.0303031938648774,-0.030669096793879528,0.030669096793879528,0.0009405934981523515,0.019211832036340606,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,694904,2014-05-15,2014-06-30,-0.0002304243696813375,0.028498699563126815,-0.028729123932808152,0.028729123932808152,0.0008253625619466502,0.016858214457521625,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,940311,2014-08-14,2014-09-30,-0.006886657101865136,0.02179877409552884,-0.028685431197393977,0.028685431197393977,0.0008228539629804236,0.016806975763994238,PRESENT,complete_required_component_set,CI_31_consolidated_bank
dynamic_fe,1,CI,694904,2013-05-15,2013-06-30,0.0042969041402461765,0.029858956232898432,-0.025562052092652256,0.025562052092652256,0.0006534185071874676,0.013346218780143778,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,694904,2014-11-14,2014-12-31,-0.0008364646783358424,0.02434404456457822,-0.02518050924291406,0.02518050924291406,0.0006340580457324805,0.01295077703580906,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,694904,2014-08-14,2014-09-30,-0.00014572463281377189,0.024118942656802735,-0.024264667289616508,0.024264667289616508,0.0005887740786757853,0.012025841906296297,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,940311,2012-08-14,2012-09-30,0.017635712317442823,0.041524224530697054,-0.02388851221325423,0.02388851221325423,0.0005706610157627965,0.011655878555463474,PRESENT,complete_required_component_set,CI_31_consolidated_bank
dynamic_fe,1,CI,694904,2015-02-14,2015-03-31,-0.000111360221606841,0.02300359154635667,-0.02311495176796351,0.02311495176796351,0.0005343009952352794,0.010913217024648373,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,694904,2012-11-14,2012-12-31,0.006434464974237392,0.02934665848089573,-0.022912193506658338,0.022912193506658338,0.0005249686112865565,0.010722601000538387,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,1,CI,940311,2016-08-14,2016-09-30,-0.0022541561003099463,0.020585140997626025,-0.022839297097935973,0.022839297097935973,0.0005216334919277866,0.010654480443605239,PRESENT,complete_required_component_set,CI_31_consolidated_bank
dynamic_fe,1,CI,940311,2012-05-15,2012-06-30,0.06497022198159177,0.04257106694056648,0.022399155041025298,0.022399155041025298,0.000501722146551889,0.01024778677228948,PRESENT,complete_required_component_set,CI_31_consolidated_bank
dynamic_fe,1,CI,940311,2013-11-14,2013-12-31,0.009305030532131433,0.028933570266870864,-0.01962853973473943,0.01962853973473943,0.00038527957211824463,0.007869421212360938,PRESENT,complete_required_component_set,CI_31_consolidated_bank
dynamic_fe,1,CI,208244,2013-05-15,2013-06-30,-0.0060742311390640305,0.012846272905476021,-0.01892050404454005,0.01892050404454005,0.0003579854732994564,0.007311933154959005,PRESENT,complete_required_component_set,CI_31_consolidated_bank
dynamic_fe,1,CI,208244,2012-02-14,2012-03-31,-0.0026933928005277337,0.015612937398059667,-0.0183063301985874,0.0183063301985874,0.00033512172533971295,0.006844936002218037,PRESENT,complete_required_component_set,CI_31_consolidated_bank
dynamic_fe,1,CRE,962966,2014-11-14,2014-12-31,0.019568934316772126,0.005002286766836013,0.014566647549936113,0.014566647549936113,0.00021218722084405975,0.0292026890627725,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,694904,2012-02-14,2012-03-31,0.00239065697664416,0.01625017971944033,-0.013859522742796171,0.013859522742796171,0.0001920863706580843,0.026436269503934837,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,1929247,2013-02-14,2013-03-31,0.0024979616266677255,0.01621861709378078,-0.013720655467113055,0.013720655467113055,0.00018825638644721937,0.025909160295471172,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,694904,2012-08-14,2012-09-30,0.0010242942644369995,0.014447569805527458,-0.013423275541090459,0.013423275541090459,0.00018018432625203736,0.024798226927108136,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
