bank_id,report_date,total_loans,total_charge_off,total_recovery,tier1_capital,risk_weighted_assets,tier1_ratio,computed_tier1_ratio,equity_capital,equity_to_assets_ratio,total_assets,mapped_exposure,mapped_charge_off,mapped_recovery,mapped_nco,mapped_segment_count,exception_type,total_charge_off_reclass_flag,total_recovery_reclass_flag,mapped_charge_off_reclass_flag,mapped_recovery_reclass_flag,flow_reclass_flag,covered_share_of_total_loans,reported_total_nco,mapped_minus_reported_nco,charge_off_subset_difference,recovery_subset_difference,nco_reconciliation_tolerance_thousands,charge_off_ytd_reclass_causally_explains,recovery_ytd_reclass_causally_explains,nco_reconciliation_status,capital_ratio_difference_basis_points,capital_reconciliation_tolerance_basis_points,capital_reconciliation_status
276579,2016-09-30,42698441.0,53763.0,23778.0,6577025.0,49210391.0,0.133651,0.1336511429059769,7622048.0,0.12520210106922774,60877956.0,36595633.0,47795.0,22317.0,25478.0,3,,0,0,0,0,0,0.8570718776360008,29985.0,-4507.0,-5968.0,-1461.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.0014290597691313245,1.0,PASS_WITHIN_TOLERANCE
276579,2016-12-31,42821199.0,37863.0,10887.0,6654990.0,49829995.0,0.133554,0.13355389660384273,7564051.0,0.11991932863638723,63076162.0,36039547.0,33676.0,9298.0,24378.0,3,,0,0,0,0,0,0.8416286288480619,26976.0,-2598.0,-4187.0,-1589.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.0010339615727494866,1.0,PASS_WITHIN_TOLERANCE
276579,2017-03-31,42869885.0,56976.0,10228.0,6661438.0,49909616.0,0.13347,0.1334700311058294,7579767.0,0.11607876808279102,65298479.0,36056229.0,52921.0,8558.0,44363.0,3,,0,0,0,0,0,0.8410619482650816,46748.0,-2385.0,-4055.0,-1670.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.00031105829384481254,1.0,PASS_WITHIN_TOLERANCE
276579,2017-06-30,43736548.0,34558.0,27908.0,6703063.0,50464031.0,0.132829,0.13282852889813737,7681189.0,0.11767092008260752,65276867.0,36653376.0,29682.0,26845.0,2837.0,3,,0,0,0,0,0,0.8380491299862074,6650.0,-3813.0,-4876.0,-1063.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.00471101862631329,1.0,PASS_WITHIN_TOLERANCE
276579,2017-09-30,44226736.0,25110.0,16134.0,6723357.0,50926314.0,0.132021,0.1320212768589535,7691100.0,0.11761765546665792,65390693.0,36790106.0,21535.0,14832.0,6703.0,3,,0,0,0,0,0,0.8318521629088794,8976.0,-2273.0,-3575.0,-1302.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.002768589535129262,1.0,PASS_WITHIN_TOLERANCE
276579,2017-12-31,44823954.0,26514.0,15045.0,6730099.0,51297733.0,0.131197,0.131196811367863,7613929.0,0.11522200547147705,66080511.0,36877883.0,19172.0,13432.0,5740.0,3,,0,0,0,0,0,0.822727129338032,11469.0,-5729.0,-7342.0,-1613.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.0018863213702147164,1.0,PASS_WITHIN_TOLERANCE
276579,2018-03-31,45173003.0,26584.0,21369.0,6820127.0,51648528.0,0.132049,0.13204881657033865,7575029.0,0.11425151502207859,66301344.0,37377323.0,19581.0,19847.0,-266.0,3,,0,0,0,0,0,0.8274261288318601,5215.0,-5481.0,-7003.0,-1522.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.001834296613489883,1.0,PASS_WITHIN_TOLERANCE
276579,2018-06-30,45313906.0,12820.0,24720.0,6846543.0,51862442.0,0.132014,0.1320135098921875,7550935.0,0.11396803747855554,66254848.0,37466939.0,8278.0,23074.0,-14796.0,3,,0,0,0,0,0,0.826830929119198,-11900.0,-2896.0,-4542.0,-1646.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.004901078125008063,1.0,PASS_WITHIN_TOLERANCE
276579,2018-09-30,45871038.0,17127.0,18384.0,6897116.0,52492889.0,0.13139099999999998,0.13139143475223852,7553208.0,0.1131893540858718,66730728.0,37915697.0,13632.0,15098.0,-1466.0,3,,0,0,0,0,0,0.8265715940415388,-1257.0,-209.0,-3495.0,-3286.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.0043475223854283485,1.0,PASS_WITHIN_TOLERANCE
276579,2018-12-31,46807570.0,12765.0,21036.0,6811119.0,53591160.0,0.127094,0.1270940767096663,7578417.0,0.11023834275124955,68745745.0,38554844.0,8512.0,19487.0,-10975.0,3,,0,0,0,0,0,0.8236882196619051,-8271.0,-2704.0,-4253.0,-1549.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.0007670966628570142,1.0,PASS_WITHIN_TOLERANCE
