bank_id,cert,rssd_id,bank_name,parent_name,assets,form_type,first_report_date,last_report_date,active_2025q4,failed_flag,acquired_flag,specialized_business_flag,core_sample_flag,exclusion_reason,specialized_review_status,specialized_review_period,primary_source,primary_source_url,evidence_summary,credit_card_assessment,auto_finance_assessment,custody_asset_servicing_assessment,broker_dealer_trading_assessment
34014,33692,34014,STANDARD CHARTERED BANK PLC,,63649642,2,,,1,0,0,0,0,insufficient_report_history,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
342634,4988,342634,TRUSTMARK BANK,TRUSTMARK CORP,18922957,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
34537,131,34537,SEACOAST NATIONAL BANK,SEACOAST BANKING CORP OF FL,20830874,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3470239,58303,3470239,AMERIPRISE BANK FSB,AMERIPRISE FINANCIAL INC,25314311,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3475083,58457,3475083,TRISTATE CAPITAL BANK,RAYMOND JAMES FINANCIAL INC,23338425,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
352772,28489,352772,BANNER BANK,BANNER CORP,16347870,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3579589,58629,3579589,STELLAR BANK,STELLAR BCORP INC,10792468,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3637685,58647,3637685,FIRST FOUNDATION BANK,FIRST FOUNDATION INC,11881997,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3650808,58665,3650808,LIVE OAK BANKING CO,LIVE OAK BANCSHARES INC,15057824,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
365325,22858,365325,UNITED BANK,UNITED BANKSHARES INC,33545963,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
379920,7888,379920,FIRST NB OF PENNSYLVANIA,F N B CORP,50018001,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
3938186,58979,3938186,BANKUNITED NATIONAL ASSN,BANKUNITED INC,35027511,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
395238,873,395238,SYNOVUS BANK,SYNOVUS FINANCIAL CORP,61204265,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
413208,57890,413208,HSBC BANK USA NATIONAL ASSN,HSBC HOLDINGS PLC,165262283,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
416245,16450,416245,BUSEY BANK,FIRST BUSEY CORP,18052735,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
42420,7468,42420,FIRST COMMONWEALTH BANK,FIRST COMMONWEALTH FINL CORP,12311455,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
436159,8663,436159,FIRSTBANK,FB FINANCIAL CORP,16265349,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
437914,17838,437914,WILMINGTON SVG FUND SOCIETY,WSFS FINANCIAL CORP,21217946,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
438818,33690,438818,BANCO BILBAO VIZCAYA SA,,42988999,2,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
456045,11241,456045,CENTENNIAL BANK,HOME BANCSHARES INC,22716797,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
463735,12441,463735,HANCOCK WHITNEY BANK,HANCOCK WHITNEY CORP,35458426,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
470050,3066,470050,FIRST FINANCIAL BANK,FIRST FINANCIAL BANKSHARES INC,15381581,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
474919,7551,474919,FULTON BANK NATIONAL ASSN,FULTON FINANCIAL CORP,31982120,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
485559,4977,485559,FIRST HORIZON BANK,FIRST HORIZON CORP,83572753,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
491224,11063,491224,FIRST-CITIZENS BANK&TRUST CO,FIRST CITIZENS BANCSHARES INC,229332000,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
494261,24045,494261,BANC OF CALIFORNIA,BANC OF CALIFORNIA INC,34710463,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
501105,588,501105,MANUFACTURERS&TRADERS TR CO,M&T BANK CORP,212887157,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
509950,4239,509950,FIRST UNITED BANK&TRUST CO,SPEND LIFE WISELY CO INC,16273258,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
510871,30387,510871,FIRSTBANK PUERTO RICO,FIRST BCORP,19111594,31,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
5278251,59108,5278251,CHARLES SCHWAB TRUST BANK,CHARLES SCHWAB CORP THE,10434593,31,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
527954,5452,527954,FIRST NATIONAL BANK OF OMAHA,LAURITZEN CORP,34573634,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
58971,1281,58971,WASHINGTON TRUST BANK,W T B FINANCIAL CORP,10682990,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
595270,4063,595270,MIDFIRST BANK,G JEFFREY RECORDS JR 2020 FAMILY TR,41367487,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
595869,18503,595869,CATHAY BANK,CATHAY GENERAL BCORP,24213489,31,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
601050,24998,601050,COMMERCE BANK,COMMERCE BANCSHARES INC,32722351,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
